 Total solar irradiance (W/m2)
 -----------------------------
    year   365-day mean
  1978.719  1361.2878
  1978.722  1361.2902
  1978.724  1361.2902
  1978.727  1361.2914
  1978.730  1361.2932
  1978.732  1361.2949
  1978.735  1361.2944
  1978.738  1361.2963
  1978.740  1361.2994
  1978.743  1361.3022
  1978.746  1361.3019
  1978.751  1361.3024
  1978.754  1361.3025
  1978.757  1361.3031
  1978.759  1361.3037
  1978.762  1361.3059
  1978.765  1361.3070
  1978.767  1361.3110
  1978.770  1361.3120
  1978.773  1361.3151
  1978.776  1361.3149
  1978.778  1361.3160
  1978.781  1361.3158
  1978.784  1361.3196
  1978.786  1361.3204
  1978.789  1361.3219
  1978.792  1361.3232
  1978.794  1361.3243
  1978.797  1361.3264
  1978.800  1361.3292
  1978.802  1361.3300
  1978.805  1361.3312
  1978.808  1361.3344
  1978.810  1361.3369
  1978.813  1361.3374
  1978.816  1361.3396
  1978.818  1361.3420
  1978.821  1361.3445
  1978.824  1361.3479
  1978.827  1361.3517
  1978.829  1361.3542
  1978.832  1361.3547
  1978.835  1361.3582
  1978.837  1361.3622
  1978.840  1361.3650
  1978.843  1361.3684
  1978.845  1361.3689
  1978.848  1361.3711
  1978.851  1361.3737
  1978.854  1361.3738
  1978.856  1361.3729
  1978.859  1361.3724
  1978.862  1361.3722
  1978.864  1361.3726
  1978.867  1361.3738
  1978.870  1361.3748
  1978.872  1361.3749
  1978.875  1361.3765
  1978.878  1361.3772
  1978.880  1361.3794
  1978.883  1361.3821
  1978.886  1361.3844
  1978.888  1361.3850
  1978.891  1361.3870
  1978.894  1361.3906
  1978.896  1361.3950
  1978.899  1361.3971
  1978.902  1361.4019
  1978.905  1361.4062
  1978.907  1361.4103
  1978.910  1361.4117
  1978.913  1361.4141
  1978.918  1361.4159
  1978.921  1361.4153
  1978.923  1361.4156
  1978.926  1361.4141
  1978.929  1361.4124
  1978.931  1361.4110
  1978.934  1361.4113
  1978.937  1361.4100
  1978.939  1361.4089
  1978.942  1361.4067
  1978.945  1361.4070
  1978.948  1361.4045
  1978.950  1361.4034
  1978.953  1361.4031
  1978.956  1361.4034
  1978.958  1361.4036
  1978.961  1361.4047
  1978.964  1361.4061
  1978.966  1361.4052
  1978.969  1361.4065
  1978.972  1361.4098
  1978.974  1361.4141
  1978.977  1361.4161
  1978.980  1361.4197
  1978.982  1361.4235
  1978.985  1361.4285
  1978.988  1361.4294
  1978.990  1361.4319
  1978.993  1361.4347
  1978.996  1361.4374
  1978.999  1361.4375
  1979.001  1361.4381
  1979.004  1361.4390
  1979.007  1361.4401
  1979.009  1361.4408
  1979.012  1361.4418
  1979.015  1361.4431
  1979.017  1361.4453
  1979.020  1361.4468
  1979.023  1361.4475
  1979.026  1361.4520
  1979.028  1361.4561
  1979.031  1361.4590
  1979.034  1361.4633
  1979.036  1361.4672
  1979.039  1361.4705
  1979.042  1361.4711
  1979.044  1361.4724
  1979.047  1361.4729
  1979.050  1361.4731
  1979.052  1361.4724
  1979.055  1361.4724
  1979.058  1361.4734
  1979.060  1361.4750
  1979.063  1361.4747
  1979.066  1361.4760
  1979.068  1361.4788
  1979.071  1361.4813
  1979.074  1361.4817
  1979.077  1361.4841
  1979.079  1361.4873
  1979.082  1361.4902
  1979.085  1361.4905
  1979.087  1361.4924
  1979.090  1361.4944
  1979.093  1361.4962
  1979.095  1361.4963
  1979.098  1361.4979
  1979.101  1361.4999
  1979.104  1361.5022
  1979.106  1361.5028
  1979.109  1361.5020
  1979.112  1361.5011
  1979.114  1361.5007
  1979.117  1361.5005
  1979.120  1361.4987
  1979.122  1361.4963
  1979.125  1361.4940
  1979.128  1361.4943
  1979.130  1361.4904
  1979.133  1361.4867
  1979.136  1361.4821
  1979.138  1361.4827
  1979.141  1361.4773
  1979.144  1361.4742
  1979.146  1361.4701
  1979.149  1361.4702
  1979.152  1361.4655
  1979.155  1361.4628
  1979.157  1361.4644
  1979.168  1361.4644
  1979.171  1361.4657
  1979.173  1361.4667
  1979.176  1361.4656
  1979.179  1361.4683
  1979.181  1361.4659
  1979.184  1361.4634
  1979.187  1361.4602
  1979.189  1361.4614
  1979.192  1361.4598
  1979.195  1361.4607
  1979.198  1361.4612
  1979.200  1361.4620
  1979.203  1361.4631
  1979.206  1361.4642
  1979.208  1361.4652
  1979.211  1361.4652
  1979.214  1361.4663
  1979.216  1361.4683
  1979.219  1361.4745
  1979.222  1361.4745
  1979.224  1361.4749
  1979.227  1361.4761
  1979.230  1361.4773
  1979.232  1361.4785
  1979.235  1361.4789
  1979.238  1361.4801
  1979.240  1361.4814
  1979.243  1361.4818
  1979.246  1361.4795
  1979.249  1361.4755
  1979.251  1361.4724
  1979.254  1361.4719
  1979.257  1361.4719
  1979.259  1361.4714
  1979.262  1361.4728
  1979.265  1361.4724
  1979.267  1361.4713
  1979.270  1361.4700
  1979.273  1361.4689
  1979.276  1361.4694
  1979.278  1361.4683
  1979.281  1361.4677
  1979.284  1361.4678
  1979.286  1361.4681
  1979.289  1361.4694
  1979.292  1361.4720
  1979.294  1361.4734
  1979.297  1361.4742
  1979.300  1361.4738
  1979.302  1361.4750
  1979.305  1361.4762
  1979.308  1361.4766
  1979.310  1361.4786
  1979.313  1361.4813
  1979.316  1361.4840
  1979.318  1361.4844
  1979.321  1361.4858
  1979.324  1361.4866
  1979.327  1361.4874
  1979.329  1361.4877
  1979.335  1361.4875
  1979.337  1361.4865
  1979.340  1361.4869
  1979.343  1361.4868
  1979.345  1361.4869
  1979.348  1361.4891
  1979.351  1361.4923
  1979.354  1361.4944
  1979.356  1361.4923
  1979.359  1361.4888
  1979.362  1361.4863
  1979.364  1361.4885
  1979.367  1361.4866
  1979.370  1361.4847
  1979.372  1361.4841
  1979.375  1361.4844
  1979.378  1361.4857
  1979.380  1361.4890
  1979.383  1361.4946
  1979.386  1361.4973
  1979.388  1361.4996
  1979.391  1361.5026
  1979.394  1361.5050
  1979.396  1361.5049
  1979.399  1361.5052
  1979.402  1361.5060
  1979.405  1361.5067
  1979.407  1361.5052
  1979.410  1361.5076
  1979.413  1361.5107
  1979.415  1361.5133
  1979.418  1361.5128
  1979.421  1361.5138
  1979.423  1361.5164
  1979.426  1361.5182
  1979.429  1361.5197
  1979.431  1361.5195
  1979.434  1361.5204
  1979.437  1361.5217
  1979.439  1361.5209
  1979.442  1361.5231
  1979.445  1361.5327
  1979.448  1361.5426
  1979.450  1361.5498
  1979.453  1361.5530
  1979.456  1361.5636
  1979.458  1361.5707
  1979.461  1361.5726
  1979.464  1361.5740
  1979.466  1361.5776
  1979.469  1361.5815
  1979.472  1361.5833
  1979.474  1361.5830
  1979.477  1361.5867
  1979.480  1361.5876
  1979.482  1361.5881
  1979.485  1361.5880
  1979.488  1361.5906
  1979.490  1361.5920
  1979.493  1361.5916
  1979.496  1361.5923
  1979.501  1361.5972
  1979.504  1361.6021
  1979.507  1361.6041
  1979.509  1361.6047
  1979.512  1361.6085
  1979.515  1361.6093
  1979.517  1361.6088
  1979.520  1361.6088
  1979.523  1361.6082
  1979.526  1361.6062
  1979.528  1361.6067
  1979.531  1361.6052
  1979.534  1361.6077
  1979.536  1361.6080
  1979.539  1361.6073
  1979.542  1361.6094
  1979.544  1361.6135
  1979.547  1361.6154
  1979.550  1361.6147
  1979.552  1361.6147
  1979.555  1361.6179
  1979.558  1361.6191
  1979.560  1361.6212
  1979.563  1361.6196
  1979.566  1361.6226
  1979.568  1361.6232
  1979.571  1361.6257
  1979.574  1361.6263
  1979.577  1361.6300
  1979.579  1361.6321
  1979.582  1361.6318
  1979.585  1361.6323
  1979.587  1361.6300
  1979.590  1361.6288
  1979.593  1361.6288
  1979.595  1361.6250
  1979.598  1361.6230
  1979.601  1361.6210
  1979.604  1361.6216
  1979.606  1361.6187
  1979.609  1361.6158
  1979.612  1361.6128
  1979.614  1361.6128
  1979.617  1361.6111
  1979.620  1361.6117
  1979.622  1361.6095
  1979.625  1361.6083
  1979.628  1361.6064
  1979.630  1361.6066
  1979.633  1361.6068
  1979.636  1361.6106
  1979.638  1361.6095
  1979.641  1361.6146
  1979.644  1361.6179
